iter	Logloss
0	0.5136201388
1	0.3779256758
2	0.292149426
3	0.2337052616
4	0.1945598779
5	0.1672662022
6	0.1485365802
7	0.134479999
8	0.1237021605
9	0.1163426583
10	0.1109711956
11	0.1062357076
12	0.103224988
13	0.100485282
14	0.09869313067
15	0.09732843539
16	0.09554346223
17	0.0948718177
18	0.0940801614
19	0.0934978702
20	0.09328962105
21	0.09276418253
22	0.09223574971
23	0.09202440647
24	0.09192059973
25	0.09180101002
26	0.09154967729
27	0.09102951664
28	0.0909075967
29	0.09081896373
30	0.09088252619
31	0.09078999608
32	0.09075050595
33	0.09062128182
34	0.09060393423
35	0.09059545317
36	0.09052154235
37	0.09052816418
38	0.09051111709
39	0.09051086461
40	0.09050231347
41	0.09030323664
42	0.09010777987
43	0.0901059199
44	0.09008539585
45	0.09002836959
46	0.0900144128
47	0.09001320892
48	0.08999846364
49	0.08995418907
50	0.08993256357
51	0.0899257248
52	0.08988005114
53	0.08986545251
54	0.08986657993
55	0.08985822933
56	0.08984984526
57	0.08984397328
58	0.08980874811
59	0.08980743709
60	0.08978012305
61	0.08983141716
62	0.08980332128
63	0.08980628029
64	0.08979275328
65	0.08977579247
66	0.08977402712
67	0.08976904597
68	0.08976543531
69	0.08975994303
70	0.08975103571
71	0.0897384838
72	0.08973341011
73	0.08972589089
74	0.08971112468
75	0.08970195527
76	0.08968061129
77	0.08967308609
78	0.08965932489
79	0.08961351819
80	0.08960351462
81	0.08958969008
82	0.08956920206
83	0.08954839506
84	0.0895501899
85	0.08954179684
86	0.08959941572
87	0.08959254723
88	0.08958506276
89	0.08956304577
90	0.08955744197
91	0.08954083041
92	0.08951902546
93	0.08951420645
94	0.08950802632
95	0.08950578923
96	0.08950693593
97	0.08950375452
98	0.08950028415
99	0.08950323154
100	0.08949922099
101	0.08948393617
102	0.08947826244
103	0.08948195711
104	0.08947225651
105	0.08946128536
106	0.08945925266
107	0.08945540652
108	0.08942317685
109	0.08941872191
110	0.08942494098
111	0.08942177967
112	0.08942238546
113	0.08941401207
114	0.08940395145
115	0.08939984757
116	0.08939318991
117	0.08938915847
118	0.08935867504
119	0.08935087466
120	0.0893484683
121	0.0893370394
122	0.08931619892
123	0.08930942163
124	0.08930958243
125	0.08930397229
126	0.08929775284
127	0.08929144094
128	0.08928671796
129	0.0892749424
130	0.0892603705
131	0.08925533792
132	0.08925319511
133	0.08924297275
134	0.08924097194
135	0.08923691544
136	0.08924700114
137	0.08923911461
138	0.08923585232
139	0.08924224374
140	0.08922072963
141	0.08921670929
142	0.0892068769
143	0.08920413186
144	0.08919324972
145	0.08918391626
146	0.08919486366
147	0.08918566246
148	0.08918138868
149	0.08917484798
150	0.08916082461
151	0.08915426252
152	0.08915084881
153	0.08914913033
154	0.08914902104
155	0.08914523267
156	0.08913579249
157	0.08913410709
158	0.08913153496
159	0.08912824857
160	0.08912533742
161	0.08911962901
162	0.08911608085
163	0.0891135001
164	0.08910873155
165	0.0891020685
166	0.08909516651
167	0.08909320239
168	0.0890918377
169	0.08908790183
170	0.0890834432
171	0.08907972259
172	0.08906686822
173	0.08906375909
174	0.08905858349
175	0.08905457342
176	0.08904643368
177	0.08905192769
178	0.08904403311
179	0.08904355154
180	0.08903215012
181	0.08903250614
182	0.08902941406
183	0.08902771346
184	0.0890225907
185	0.0890223133
186	0.08901818712
187	0.08901833096
188	0.08901164918
189	0.08899798725
190	0.08899411335
191	0.08899034537
192	0.0889876321
193	0.08898261165
194	0.08897886735
